name,
Bora,
Flam,
Dee,
Pao,
Mufa,
Latty,
So,
Trua,
Tou,
Quaco,
Teagu,
May,
By,
Fugra,
Haso,
Currasa,
Cochair,
Darcaue,
Quarko,
Arge,
Comme,
Osay,
Barquar,
Carpine,
Soconey,
Flawe,
Gebunger,
Care,
Jeer,
Dar,
Tooar,
Namwick,
Monar,
Whar,
Tooar,
Whay,
Jeer,
Currier,
Maphy,
Whay,
Ghar,
Saliar,
Pay,
Dayhoo,
Jutar,
Scurrasay,
Marnar,
Comar,
Tofar,
Ba,
Guyfor,
Tanna,
Brogoo,
Guy,
Juar,
Buy,
Garrar,
Fy,
Guyfor,
Sue,
Qingee,
Bar,
Pay,
Surar,
Boway,
Day,
Frar,
Humom,
Woyho,
Podar,
Nausey,
Tooar,
Bleak,
Sam,
Truar,
So,
Maddie,
Quagmar,
Gibbar,
Guguy,
Gettoo,
Bendoo,
Tattio,
Gucour,
Sowar,
Whoyo,
Bassdey,
Guray,
Tendy,
Gotasay,
Yaffee,
Gundo,
Bohardy,
Mumboo,
Cannonbora,
Bongar,
Basammer,
Quackey,
Bear,
Sambe,
Tombar,
Garmo,
Sacay,
Jingo,
Tommyer,
Yer,
Sambar,
Yondear,
Zoole,
Foobunger,
Dorray,
Bromnia,
Tambar,
Gowar,
Congue,
Yagway,
Bongo,
Quarnice,
Whyne,
Gogo,
Jewler,
Myer,
Cy,
Combar,
Saysa,
Furrar,
Congo,
Bassammar,
Tombo,
Econner,
Turrar,
Candee,
Yarcoo,
Sundo,
Jarvay,
Parmer,
Martaigo,
Goma,
Tarbonde,
Quayay,
Goma,
Warmay,
Fanna,
Sar,
Dolley,
Quarary,
Warboway,
Quargay,
Quariery,
Barye,
Doony,
Tombar,
Cundoo,
Doomar,
Mambarrer,
Femar,
Tooar,
Marry,
Quanger,
Tombassy,
Quassy,
Yarrawquar,
Garno,
Gingada,
Yaingo,
Dungo,
Boy,
Dogway,
Tangway,
Satide,
Yaddy,
Bono,
Conger,
Condee,
Secar,
Whingar,
Gungar,
Quanar,
Findar,
Feewar,
Feewar,
Sandio,
Teemar,
Monyer,
Combar,
Quarney,
Jiller,
Narquar,
Marnmar,
Marner,
Boy,
Canna,
Conner,
Jeer,
Marnmon,
Marngeer,
Ferry,
Martor,
Comnio,
Marsoo,
