name,Unnamed: 1
Bora,
Flam,
Dee,
Pao,
Mufa,
Latty,
So,
Trua,
Tou,
Quaco,
Teagu,
May,
By,
Fugra,
Haso,
Currasa,
Cochair,
Darcaue,
Quarko,
Arge,
Comme,
Osay,
Barquar,
Carpine,
Soconey,
Flawe,
Gebunger,
Care,
Jeer,
Dar,
Tooar,
Namwick,
Monar,
Whar,
Whay,
Currier,
Maphy,
Ghar,
Saliar,
Pay,
Dayhoo,
Jutar,
Scurrasay,
Marnar,
Comar,
Tofar,
Ba,
Guyfor,
Tanna,
Brogoo,
Guy,
Juar,
Buy,
Garrar,
Fy,
Sue,
Qingee,
Bar,
Surar,
Boway,
Day,
Frar,
Humom,
Woyho,
Podar,
Nausey,
Bleak,
Sam,
Truar,
Maddie,
Quagmar,
Gibbar,
Guguy,
Gettoo,
Bendoo,
Tattio,
Gucour,
Sowar,
Whoyo,
Bassdey,
Guray,
Tendy,
Gotasay,
Yaffee,
Gundo,
Bohardy,
Mumboo,
Cannonbora,
Bongar,
Basammer,
Quackey,
Bear,
Sambe,
Tombar,
Garmo,
Sacay,
Jingo,
Tommyer,
Yer,
Sambar,
Yondear,
Zoole,
Foobunger,
Dorray,
Bromnia,
Tambar,
Gowar,
Congue,
Yagway,
Bongo,
Quarnice,
Whyne,
Gogo,
Jewler,
Myer,
Cy,
Combar,
Saysa,
Furrar,
Congo,
Bassammar,
Tombo,
Econner,
Turrar,
Candee,
Yarcoo,
Sundo,
Jarvay,
Parmer,
Martaigo,
Goma,
Tarbonde,
Quayay,
Warmay,
Fanna,
Sar,
Dolley,
Quarary,
Warboway,
Quargay,
Quariery,
Barye,
Doony,
Cundoo,
Doomar,
Mambarrer,
Femar,
Marry,
Quanger,
Tombassy,
Quassy,
Yarrawquar,
Garno,
Gingada,
Yaingo,
Dungo,
Boy,
Dogway,
Tangway,
Satide,
Yaddy,
Bono,
Conger,
Condee,
Secar,
Whingar,
Gungar,
Quanar,
Findar,
Feewar,
Sandio,
Teemar,
Monyer,
Quarney,
Jiller,
Narquar,
Marnmar,
Marner,
Canna,
Conner,
Marnmon,
Marngeer,
Ferry,
Martor,
Comnio,
Marsoo,
Marfay,
Conna,
Yarboy,
Farro,
Farfarbinjer,
Wanger,
Sumay,
Surrar,
Bocarry,
Yardoy,
